Rank,Release,Gross,Theaters,Opening,% of Total,Distributor
87,Devil,33601190,2811,12289375,36.60%,Universal Pictures
88,Hereafter,32746941,2424,220322,0.70%,Warner Bros.
89,When in Rome,32680633,2456,12350041,37.80%,Walt Disney Studios Motion Pictures
90,Love & Other Drugs,32367005,2458,9739161,30.10%,Twentieth Century Fox
91,She's Out of My League,32010860,2958,9775278,30.50%,Paramount Pictures
92,Scott Pilgrim vs. the World,31524275,2820,10609795,33.70%,Universal Pictures
93,Charlie St. Cloud,31162545,2725,12381585,39.70%,Universal Pictures
94,Morning Glory,31011732,2544,9203266,29.70%,Paramount Pictures
95,How Do You Know,30212620,2483,7484696,24.80%,Sony Pictures Releasing
96,Daybreakers,30101577,2523,15146692,50.30%,Lionsgate
97,Nanny McPhee Returns,29011215,2798,8407685,29%,Universal Pictures
98,The Switch,27779426,2017,8436713,30.40%,Miramax
99,Brooklyn's Finest,27163593,1939,13350299,49.10%,Overture Films
100,Machete,26593646,2678,11416164,42.90%,Twentieth Century Fox
101,Ramona and Beezus,26167002,2719,7810481,29.80%,Twentieth Century Fox
102,Leap Year,25918920,2512,9202815,35.50%,Universal Pictures
103,You Again,25702053,2548,8407513,32.70%,Walt Disney Studios Motion Pictures
104,Alpha and Omega,25107267,2625,9106906,36.30%,Lionsgate
105,Piranha 3D,25003155,2491,10106872,40.40%,Solo Film
106,Lottery Ticket,24719879,1974,10652297,43.10%,Warner Bros.
107,The Spy Next Door,24307086,2924,9726056,40%,Lionsgate
108,From Paris with Love,24077427,2722,8158860,33.90%,Lionsgate
109,The Losers,23591432,2936,9406348,39.90%,Warner Bros.
110,Faster,23240020,2470,8523153,36.70%,CBS Films
111,Just Wright,21540363,1831,8284989,38.50%,Solo Film
112,Skyline,21393620,2883,11692415,54.70%,Universal Pictures
113,The Next Three Days,21148651,2564,6542779,30.90%,Lionsgate
114,The Kids Are All Right,20811365,994,491971,2.40%,Focus Features
115,Our Family Wedding,20255281,1609,7629862,37.70%,Solo Film
116,Country Strong,20218921,1441,30452,0.20%,Screen Gems
117,Oceans,19422319,1232,6058958,31.20%,Walt Disney Studios Motion Pictures
118,Remember Me,19068240,2215,8089139,42.40%,Summit Entertainment
119,127 Hours,18335230,916,264851,1.40%,Solo Film
120,Going the Distance,17804299,3030,6884964,38.70%,Warner Bros.
121,Furry Vengeance,17630465,3002,6627564,37.60%,Summit Entertainment
122,Splice,17010170,2450,7385277,43.40%,Warner Bros.
123,The Ghost Writer,15541549,819,183009,1.20%,Summit Entertainment
124,Youth in Revolt,15281286,1873,6888334,45.10%,Solo Film
125,My Soul to Take,14744435,2572,6842220,46.40%,Universal Pictures
126,Repo Men,13794835,2521,6126170,44.40%,Universal Pictures
127,Case 39,13261851,2212,5350570,40.30%,Paramount Vantage
128,Let Me In,12134935,2042,5147479,42.40%,Overture Films
129,Extraordinary Measures,12068313,2549,6012594,49.80%,CBS Films
130,Avatar,10741486,812,4007750,37.30%,Twentieth Century Fox
131,Jonah Hex,10547117,2825,5379365,51%,Warner Bros.
132,The Girl with the Dragon Tattoo,10095170,202,335502,3.30%,Music Box Films
133,Blue Valentine,9706328,450,193728,2%,The Weinstein Company
134,Fair Game,9540691,436,651082,6.80%,Summit Entertainment
135,Get Low,9176933,570,88182,1%,Sony Pictures Classics
136,MacGruber,8525600,2551,4043495,47.40%,Universal Pictures
137,The Girl Who Played with Fire,7638241,185,904998,11.80%,Music Box Films
138,Cyrus,7468936,454,181716,2.40%,Solo Film
139,Babies,7320323,543,2160460,29.50%,Focus Features
140,Conviction,6783129,672,102351,1.50%,Solo Film
141,City Island,6671036,269,32001,0.50%,Anchor Bay Films
142,The Last Station,6617867,354,73723,1.10%,Sony Pictures Classics
143,Winter's Bone,6531503,141,84797,1.30%,Roadside Attractions
144,Waiting for Superman,6417135,330,139033,2.20%,Paramount Vantage
145,The Secret in Their Eyes,6391436,166,167866,2.60%,Sony Pictures Classics
146,It's Kind of a Funny Story,6363628,757,2013406,31.60%,Focus Features
147,Sea Rex 3D: Journey to a Prehistoric World,6096582,14,3048665,Solo Film,3D Entertainment
148,The Warrior's Way,5666340,1622,881737,53.80%,Relativity Media
149,The Girl Who Kicked the Hornet's Nest,5190196,208,121504,17%,Music Box Films
150,I Am Love,5005465,166,199657,2.40%,Magnolia Pictures
151,Mao's Last Dancer,4817770,137,94936,4.10%,The Samuel Goldwyn Company
152,Solitary Man,4360548,177,39649,2.20%,Anchor Bay Films
153,Inside Job,4312735,250,118152,0.90%,Sony Pictures Classics
154,Greenberg,4234170,186,118123,2.80%,Focus Features
155,Please Give,4033574,272,1944027,2.90%,Sony Pictures Classics
156,My Name Is Khan,4018771,125,1581517,48.40%,Solo Film
157,To Save a Life,3777210,441,805115,41.90%,The Samuel Goldwyn Company
158,The Runaways,3573673,244,170756,22.50%,Apparition
159,Exit Through the Gift Shop,3291250,46,160103,5.20%,Solo Film
160,You Will Meet a Tall Dark Stranger,3248246,402,257285,4.90%,Sony Pictures Classics
161,Catfish,3237343,143,111869,7.90%,Rogue Pictures
162,Another Year,3205706,236,900688,3.50%,Sony Pictures Classics
163,Chloe,3075255,350,164351,29.30%,Sony Pictures Classics
164,Joan Rivers: A Piece of Work,2930687,115,1088873,5.60%,IFC Films
165,Letters to God,2848578,897,1166406,38.20%,Vivendi Entertainment
166,NSolo FilmSecure,2595644,486,111734,44.90%,Freestyle Releasing
167,Never Let Me Go,2434652,232,38594,4.60%,Solo Film
168,Twilight/New Moon,2385237,2037,53778,Solo Film,Summit Entertainment
169,The Illusionist,2231474,206,163773,1.70%,Sony Pictures Classics
170,Rabbit Hole,2229058,131,112520,2.40%,Lionsgate
171,A Prophet,2087720,83,173353,7.80%,Sony Pictures Classics
172,I Love You Phillip Morris,2037459,100,75766,5.50%,Roadside Attractions
173,Harry Brown,1818681,67,119086,9.50%,The Samuel Goldwyn Company
174,Stone,1810078,125,224233,4.20%,Overture Films
175,Somewhere,1785645,83,959329,6.70%,Focus Features
176,Flipped,1755212,442,44454,12.80%,Warner Bros.
177,Kites,1643486,207,66245,58.40%,Reliance Big Pictures
178,Coco Chanel & Igor Stravinsky,1621226,74,850244,2.70%,Sony Pictures Classics
179,Cairo Time,1603616,76,509689,4.10%,IFC Films
180,Raajneeti,1514558,124,52749,56.10%,UTV Motion Pictures
181,The Joneses,1475746,217,35581,34.50%,Roadside Attractions
182,Nowhere Boy,1457248,215,628137,3.60%,The Weinstein Company
183,Restrepo,1330894,52,42751,2.70%,National Geographic Entertainment
184,Dabangg,1288549,68,642156,48.70%,Eros Worldwide
185,Micmacs,1262079,52,626432,3.40%,Sony Pictures Classics
186,Housefull,1183658,82,43040,54.30%,Eros Worldwide
187,Golmaal 3,1132192,86,37563,55.30%,Eros Worldwide
188,Mother and Child,1110509,119,539793,3.90%,Sony Pictures Classics
189,Made in Dagenham,1095369,89,49046,3.40%,Sony Pictures Classics
190,Tees Maar Khan,1076443,108,100268,50.10%,UTV Motion Pictures
191,La Mission,1062941,47,61968,4.60%,Screen Media Films
192,Buried,1044143,107,34528,9.60%,Lionsgate
193,Animal Kingdom,1044039,61,511698,5.90%,Sony Pictures Classics
194,Casino Jack,1042959,60,291360,3.30%,ATO Pictures
195,The Perfect Game,1037071,417,488121,49.30%,Solo Film
196,The Oscar Nominated Short Films 2010: Live Action,1018169,95,,28.60%,Shorts International
197,Guzaarish,1017335,108,67848,48%,UTV Motion Pictures
198,The Salvation Poem,914818,30,186995,Solo Film,CanZion Films
199,The Wildest Dream,898137,21,67848,7.60%,National Geographic Entertainment
200,Princess Kaiulani,883887,47,186995,21.20%,Roadside Attractions
